Location Name,Work Performed Date,Location Address,Issue,Description,Labor Cost,Material Cost,Total Cost,Location
Como Regional Park,08/23/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti on arrow directional sign at Beulah and cross walk sign,54.20,3.48,57.68,"(44.9793358, -93.1445923)"
Central Village Park,08/25/2015,Kent/Central/Macubin,Graffiti,Graffiti on retaining wall W of tot lot,54.20,20.00,74.20,"(44.9537506, -93.120224)"
Lilydale Boat Landing,08/27/2015,,Graffiti,Signs at Lilydale have been graffiti,13.55,20.00,33.55,"(44.9179115, -93.1286163)"
Raspberry Island,08/27/2015,2 Wabasha St S,Graffiti,Remove griffiti from E end of building,67.75,50.00,117.75,"(44.942234, -93.0911179)"
Mississippi River Blvd,08/27/2015,Mississippi River Boulevard,Graffiti,Graffiti on MRB acrross from 32 MRB,40.65,23.56,64.21,"(44.9428291, -93.1936417)"
Prospect Park,08/27/2015,Maryland & Ivy,Graffiti,Graffiti on garbage containers at Prospect Park,27.10,20.00,47.10,"(44.9808197, -93.0327454)"
Newell Park,08/28/2015,900 N Fairview Ave,Graffiti,"Graffiti on tables, men's room and east side of building",120.70,6.96,127.66,"(44.9681816, -93.1771164)"
Mississippi River Blvd,08/31/2015,Mississippi River Boulevard,Graffiti,"MRB on E bank, directly below memorial",114.55,43.23,157.78,
Two River Overlook,08/31/2015,Shepard Rd & Hwy 5,Graffiti,Graffiti on stone sculpture,114.55,6.96,121.51,"(44.8957367, -93.1786575)"
Hidden Falls Reg. Pk.,08/31/2015,1313 Hidden Falls Dr,Graffiti,Graffiti on Shelter,108.40,19.50,127.90,"(44.9059944, -93.1904831)"
Swede Hollow ,08/31/2015,651 Greenbrier St E,Graffiti,Graffiti tags on bench's,120.70,6.96,127.66,"(44.9606361, -93.0711212)"
Marydale Park,08/31/2015,1120 N Dale St,Graffiti,Picnic tables on Maryland side have graffiti,211.22,12.18,223.41,"(44.9754715, -93.1219788)"
Hidden Falls Reg. Pk.,09/01/2015,1313 Hidden Falls Dr,Graffiti,Graffiti in Men's room in Shelter,60.35,13.48,73.83,"(44.9059944, -93.1904831)"
Merriam Park Rec Center,09/02/2015,2000 St. Anthony Ave,Graffiti,Graffiti on tot lot,60.35,13.48,73.83,"(44.9527664, -93.1844177)"
Lamberts Landing,09/04/2015,260 Warner Road,Graffiti,Graffiti on the dock of Lamberts Landing,150.88,8.70,159.58,"(44.9468651, -93.0827103)"
Merriam Park Rec Center,09/04/2015,2000 St. Anthony Ave,Graffiti,Graffiti on skate park and tot lot,54.20,84.75,138.95,"(44.9526253, -93.1845398)"
Arlington Hill Community Center,09/09/2015,1200 Payne Avenue,Graffiti,Graffiti on exterior book return,27.10,2.38,29.48,"(44.9774399, -93.0734329)"
McMurray Field building,09/11/2015,1155 W Jessamine Ave,Graffiti,graffiti on trash can,27.10,2.38,29.48,"(44.9739189, -93.149025)"
Como Regional Park,09/11/2015,1281 1/2 W Como Blvd,Graffiti,W Picnic grounds men's restroom,54.20,20.00,74.20,"(44.9793358, -93.1445923)"
Mounds Park Pavilion,09/15/2015,1060 Mounds Blvd,Graffiti,Graffiti on stones and rock wall,40.65,23.56,64.21,"(44.9461021, -93.0556183)"
Kelly's Landing,09/16/2015,,Graffiti,Graffiti on picnic tables,27.10,12.38,39.48,"(44.936039, -93.0991669)"
Scheffer Rec Center,09/17/2015,237 Thomas Ave,Graffiti,Graffitti on curb and slide,27.10,42.38,69.48,"(44.9594383, -93.1101227)"
Front Rec Center,09/18/2015,485 Stinson St,Graffiti,Graffiti on mens room,108.40,40.00,148.40,"(44.9693336, -93.1205444)"
Lilydale Regional Park,09/21/2015,400 Water St,Graffiti,Graffiti thru the Park,343.65,64.69,408.34,"(44.9202843, -93.1216736)"
Lilydale Regional Park,09/21/2015,400 Water St,Graffiti,Graffiti on wooden fence,54.20,4.75,58.95,"(44.9202843, -93.1216736)"
Eastview Rec,09/21/2015,1675 Fifth St E,Graffiti,Graffiti on Band Board,229.10,76.46,305.56,"(44.9595528, -93.0296402)"
Front Rec Center,09/21/2015,485 Stinson St,Graffiti,"Graffiti on benches, changing table, walls in restroom",54.20,44.75,98.95,"(44.9693336, -93.1205444)"
Battle Creek Rec,09/22/2015,75 Winthrop St S,Graffiti,Graffiti on garage service doors,27.10,12.38,39.48,"(44.9385223, -93.0100098)"
Scheffer Rec Center,09/22/2015,237 Thomas Ave,Graffiti,Graffiti on bench and basketball court,27.10,42.38,69.48,"(44.9594383, -93.1101227)"
Lilydale Boat Landing,09/24/2015,,Graffiti,Graffiti at Lilydale Boat Landing,27.10,22.38,49.48,"(44.9179192, -93.1286545)"
Carty Park,09/24/2015,694 Carroll Ave,Graffiti,Graffiti on Tot Lot,27.10,22.38,49.48,"(44.9502869, -93.129509)"
Crosby Regional Park,09/29/2015,35 E & Sheppard Road,Graffiti,Graffiti on retaining wall by North Entrance,54.20,3.48,57.68,"(44.9108353, -93.1436081)"
Citywide Graffiti ,10/01/2015,4th and Commericial,Graffiti,Graffiti on 4th and Commercial,30.17,21.74,51.92,"(44.953495, -93.0745392)"
Highland Park Restroom Building,10/02/2015,1227 Montreal Ave,Graffiti,Paint in parking lot at Highland Shelter,60.35,83.48,143.83,"(44.9125061, -93.152298)"
Mounds Maint,10/06/2015,279 Cypress St,Graffiti,Graffiti on load and pack,30.17,21.74,51.92,"(44.9499016, -93.0582352)"
Citywide Graffiti ,10/06/2015,265 Commercial St,Graffiti,Graffiti in Bruce Vento,60.35,98.48,158.83,"(44.9527245, -93.0728683)"
Mississippi River Blvd,10/07/2015,Mississippi River Boulevard,Graffiti,Graffiti on 2 benches and a LNP on MRB,54.20,29.75,83.95,
Mississippi River Blvd,10/07/2015,Mississippi River Boulevard,Graffiti,Trash containers and benches sprayed red,108.40,49.50,157.90,
Citywide Graffiti ,10/07/2015,Ford Dam ,Graffiti,kiosk by Ford Dam has graffiti,27.10,22.38,49.48,"(44.9156227, -93.1994553)"
Citywide Graffiti ,10/08/2015,35E pedestrial tunnel,Graffiti,Grafffiti in the 35E pedestrian tunnel,40.65,3.56,44.21,"(44.9090042, -93.14254)"
Lower Landing,10/10/2015,360 Warner Rd,Graffiti,Graffiti on table and trash cans,45.26,32.61,77.87,"(44.9483376, -93.0795059)"
Hidden Falls South,10/12/2015,MISSISSIPPI RIVER & Prior,Graffiti,Graffiti on wood retaining wall ,27.10,22.38,49.48,"(44.8968506, -93.1823196)"
Lilydale Regional Park,10/12/2015,400 Water St,Graffiti,"Graffiti on signs, benches, split rail fencing and electrical cabinets throughout the park",271.00,143.75,414.75,"(44.9202843, -93.1216736)"
Citywide Graffiti ,10/12/2015,1291 7th St,Graffiti,"1291 7th St, tags on 3 poles",30.17,31.74,61.92,"(44.9220009, -93.1352692)"
Citywide Graffiti ,10/13/2015,536 Clay St,Graffiti,Graffiti at 536 Clay St,27.10,62.38,89.48,"(44.9314766, -93.1223068)"
Kellogg Park,10/14/2015,42 E Kellogg Blvd,Graffiti,Graffiti on lower fountain,27.10,52.38,79.48,"(44.9436226, -93.0946121)"
Mears Park,10/14/2015,220 E 6th St,Graffiti,Graffiti on stage area,54.20,54.75,108.95,"(44.9497337, -93.0883026)"
St Clair Joint,10/19/2015,265 Oneida St,Graffiti,Graffiti on play area bench,40.65,43.56,84.21,"(44.9333763, -93.123291)"
Scheffer Rec Center,10/19/2015,237 Thomas Ave,Graffiti,Graffiti on dumpster,27.10,12.38,39.48,"(44.9594383, -93.1101227)"
Mississippi River Blvd,10/21/2015,Mississippi River Boulevard,Graffiti,"Graffiti on trash cans, outhouse, lamp posts",27.10,12.38,39.48,
St Clair Joint,10/21/2015,265 Oneida St,Graffiti,Tags on play equipment,27.10,42.38,69.48,"(44.9333763, -93.123291)"
Palace Rec ,10/22/2015,781 Palace Ave,Graffiti,Graffiti with vulgar words on bench at field 4,57.27,14.12,71.39,"(44.9292145, -93.1328964)"
Langford Park Rec Center,10/23/2015,30 Langford Park,Graffiti,Graffiti on wall behind office,16.26,1.43,17.69,"(44.9764519, -93.1956787)"
Citywide Graffiti ,10/26/2015,928 7th St W,Graffiti,928 7th St W graffiti on retaining wall,60.35,168.48,228.83,"(44.9287643, -93.125061)"
St Clair Joint,10/26/2015,265 Oneida St,Graffiti,Remove graffiti from the bench on field 1,16.26,1.43,17.69,"(44.9333763, -93.123291)"
Citywide Graffiti ,10/26/2015,Cook & Laeson,Graffiti,Graffiti on city sidewalk on Western between Cook and Laeson,30.17,16.74,46.92,"(44.9725647, -93.1159668)"
Citywide Graffiti ,10/27/2015,Mississippi River Boulevard,Graffiti,Graffiti on Head House on MRB,30.17,1.74,31.92,
Citywide Graffiti ,11/02/2015,5th and 6th ,Graffiti,Graffiti on sidewalk between 5th & 6th above Mounds,30.17,21.74,51.92,"(44.9544182, -93.0794144)"
Citywide Graffiti ,11/02/2015,284 Topping St,Graffiti,Graffiti on sidewalk in front of 284 Topping St,30.17,46.74,76.92,"(44.9674339, -93.1120987)"
Lilydale Regional Park,11/04/2015,400 Water St,Graffiti,Graffiti on monument,60.35,163.48,223.83,"(44.9202843, -93.1216736)"
Rice Park,11/04/2015,106 W 5th St,Graffiti,Remove graffiti from electrical box,24.39,25.70,50.09,"(44.9450684, -93.0974655)"
Citywide Graffiti ,11/04/2015,1503 Hague Ave,Graffiti,Graffiti on sidewalk 1503 Hague Ave,30.17,76.74,106.92,"(44.9458351, -93.1637039)"
Citywide Graffiti ,11/04/2015,Aldine at I94,Graffiti,Graffiti on sidewalk going over I94 at Aldine,30.17,21.74,51.92,"(44.9521294, -93.1716766)"
McMurray Fields,11/04/2015,1155 W Jessamine Ave,Graffiti,Remove graffiti from storage unit  near Soccer Fields,108.40,69.50,177.90,"(44.9739189, -93.149025)"
Como Regional Park,11/04/2015,1281 1/2 W Como Blvd,Graffiti,Graffiti up high on Joyce Kilme memorial fireplace,90.52,70.55,160.75,"(44.9793358, -93.1445923)"
Lilydale Regional Park,11/09/2015,400 Water St,Graffiti,New tags in park,30.17,11.74,41.92,"(44.9202843, -93.1216736)"
Citywide Graffiti ,11/09/2015,1430 Magnolia Ave,Graffiti,Graffiti on bench near 1430-1436 Magnolia,27.10,42.38,69.48,"(44.9738693, -93.040329)"
Hidden Falls Reg. Pk.,11/13/2015,1313 Hidden Falls Dr,Graffiti,Graffiti on mens room door and large table,60.35,63.48,123.83,"(44.9059944, -93.1904831)"
Marydale Park,11/14/2015,1120 N Dale St,Graffiti,Graffiti on water pump,30.17,11.74,41.92,"(44.9754715, -93.1219788)"
Citywide Graffiti ,11/14/2015,500 Maryland Ave,Graffiti,Graffiti in the park at 500-538 Maryland Ave,30.17,51.74,81.92,"(44.977314, -93.121315)"
Citywide Graffiti ,11/23/2015,History Center ,Graffiti,Graffiti on tiers across from History Center on the 94 side,60.35,98.48,158.83,"(44.9489822, -93.105751)"
Dayton's Bluff Rec Center,11/25/2015,800 Conway St,Graffiti,Graffiti tag on trees,54.20,4.75,58.95,"(44.9551163, -93.0660095)"
Lexington Parkway,12/01/2015,395 N Lexington Pkwy,Graffiti,Graffiti on East side of tunnel and top,30.17,61.74,91.92,"(44.9531288, -93.1468353)"
Citywide Graffiti ,12/02/2015,,Graffiti,remove graffiti from fence and E side of building,60.35,283.48,343.83,
Citywide Graffiti ,12/02/2015,677 Pierce Butler,Graffiti,Graffiti at 677 Pierce Butler,90.52,315.22,405.75,"(44.9647713, -93.1289825)"
Mounds Overlook,12/03/2015,,Graffiti,Graffiti on monument near 1st overlook,54.20,44.75,98.95,
Harriet Island Pavilion Wigington,12/03/2015,200 Dr Justice Ohage Blvd,Graffiti,Graffiti on Entrance,13.55,1.19,14.74,"(44.9376869, -93.0973587)"
Kellogg Park,12/03/2015,42 E Kellogg Blvd,Graffiti,Graffiti on wall behind lower fountain,27.10,22.38,49.48,"(44.9436226, -93.0946121)"
Citywide Graffiti ,12/03/2015,1554 Midway Pkwy,Graffiti,Graffiti on side of building at 1554 Midway Pkwy,30.17,21.74,51.92,"(44.9808464, -93.1659622)"
Citywide Graffiti ,12/10/2015,2020 Reaney Ave,Graffiti,remove graffiti from Utility box at 2020 Reaney,30.17,11.74,41.92,"(44.9639282, -93.0151062)"
Hidden Falls Reg. Pk.,12/11/2015,1313 Hidden Falls Dr,Graffiti,Remove all graffiti through out the park,229.10,116.46,345.56,"(44.9059944, -93.1904831)"
Citywide Graffiti ,12/14/2015,Robert St Bridge,Graffiti,Graffiti on post under Robert St Bridge,30.17,1.74,31.92,"(44.9429741, -93.0864563)"
Ames Lake,12/14/2015,1380 Magnolia Ave,Graffiti,Gang graffiti at S entrance,60.35,18.48,78.83,"(44.9738731, -93.0421982)"
Scheffer Rec Center,12/17/2015,237 Thomas Ave,Graffiti,4 letter words etched into N gym door,27.10,22.38,49.48,"(44.9594383, -93.1101227)"
Front Rec Center,12/22/2015,485 Stinson St,Graffiti,graffiti on restroom doors,27.10,22.38,49.48,"(44.9693336, -93.1205444)"
Citywide Graffiti,,1191 Van Buren,Graffiti,Graffiti at 1191 Van Buren,0.00,0.00,0.00,"(44.9621, -93.1505)"
