Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,UnderVotesPercent,TotalUnderVotes,TotalUnderVotesPercent,OverVotes,OverVotesPercent,TotalOverVotes,TotalOverVotesPercent,InvalidVotes,InvalidVotesPercent,TotalInvalidVotes,TotalInvalidVotesPercent,RejectedWriteInVotes,RejectedWriteInVotesPercent,TotalRejectedWriteInVotes,TotalRejectedWriteInVotesPercent,UnresolvedWriteInVotes,UnresolvedWriteInVotesPercent,TotalUnresolvedWriteInVotes,TotalUnresolvedWriteInVotesPercent
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Election Day Voting,Steve Marchese,,144,6.23%,168,6.03%,1190,51.47%,1406,50.50%,1122,48.53%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Absentee Voting,Zuki Ellis,,29,6.14%,165,5.93%,216,45.76%,1406,50.50%,256,54.24%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Election Day Voting,Zuki Ellis,,136,5.88%,165,5.93%,1190,51.47%,1406,50.50%,1122,48.53%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Absentee Voting,Ryan Williams,,18,3.81%,126,4.53%,216,45.76%,1406,50.50%,256,54.24%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Election Day Voting,Ryan Williams,,108,4.67%,126,4.53%,1190,51.47%,1406,50.50%,1122,48.53%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Absentee Voting,Chauntyll Allen,,22,4.66%,180,6.47%,216,45.76%,1406,50.50%,256,54.24%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-06,Election Day Voting,Chauntyll Allen,,158,6.83%,180,6.47%,1190,51.47%,1406,50.50%,1122,48.53%,1378,49.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,2,4.65%,13,7.39%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,11,8.27%,13,7.39%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,1,2.33%,8,4.55%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,7,5.26%,8,4.55%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,0,0.00%,9,5.11%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,9,6.77%,9,5.11%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,2,4.65%,11,6.25%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,9,6.77%,11,6.25%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,6,13.95%,37,21.02%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,31,23.31%,37,21.02%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,31,72.09%,96,54.55%,42,97.67%,174,98.86%,0,0.00%,1,0.57%,1,2.33%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 1st Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,65,48.87%,96,54.55%,132,99.25%,174,98.86%,1,0.75%,1,0.57%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,2,4.65%,9,5.11%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,7,5.26%,9,5.11%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,2,4.65%,13,7.39%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,11,8.27%,13,7.39%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,0,0.00%,13,7.39%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,13,9.77%,13,7.39%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,1,2.33%,19,10.80%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,18,13.53%,19,10.80%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,1,2.33%,12,6.82%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,11,8.27%,12,6.82%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,3,6.98%,29,16.48%,9,20.93%,95,53.98%,34,79.07%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 4th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,26,19.55%,29,16.48%,86,64.66%,95,53.98%,47,35.34%,81,46.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,4,9.30%,10,5.68%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,6,4.51%,10,5.68%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,3,6.98%,14,7.95%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,11,8.27%,14,7.95%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,1,2.33%,8,4.55%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,7,5.26%,8,4.55%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,0,0.00%,13,7.39%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,13,9.77%,13,7.39%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,4,9.30%,40,22.73%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,36,27.07%,40,22.73%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,6,13.95%,43,24.43%,18,41.86%,128,72.73%,25,58.14%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 2nd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,37,27.82%,43,24.43%,110,82.71%,128,72.73%,23,17.29%,48,27.27%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,1,2.33%,10,5.68%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,9,6.77%,10,5.68%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,1,2.33%,10,5.68%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,9,6.77%,10,5.68%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,2,4.65%,15,8.52%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,13,9.77%,15,8.52%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,2,4.65%,13,7.39%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,11,8.27%,13,7.39%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,0,0.00%,11,6.25%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,11,8.27%,11,6.25%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,1,2.33%,27,15.34%,7,16.28%,86,48.86%,36,83.72%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 5th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,26,19.55%,27,15.34%,79,59.40%,86,48.86%,54,40.60%,90,51.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,1,2.33%,8,4.55%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,7,5.26%,8,4.55%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,5,11.63%,20,11.36%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,15,11.28%,20,11.36%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,3,6.98%,18,10.23%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,15,11.28%,18,10.23%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,1,2.33%,19,10.80%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,18,13.53%,19,10.80%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,4,9.30%,17,9.66%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,13,9.77%,17,9.66%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,2,4.65%,27,15.34%,16,37.21%,109,61.93%,27,62.79%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 3rd Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,25,18.80%,27,15.34%,93,69.92%,109,61.93%,40,30.08%,67,38.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Greg Copeland,,2,4.65%,10,5.68%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Greg Copeland,,8,6.02%,10,5.68%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Danielle Swift,,0,0.00%,4,2.27%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Danielle Swift,,4,3.01%,4,2.27%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Alexander Bourne,,1,2.33%,15,8.52%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Alexander Bourne,,14,10.53%,15,8.52%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Kassim Busuri,,2,4.65%,16,9.09%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Kassim Busuri,,14,10.53%,16,9.09%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Terri Thao,,0,0.00%,9,5.11%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Terri Thao,,9,6.77%,9,5.11%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Absentee Voting,Nelsie Yang,,1,2.33%,29,16.48%,6,13.95%,83,47.16%,37,86.05%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Council Member City of Saint Paul Ward Six 6th Choice - Select One,Saint Paul W-6 P-07,Election Day Voting,Nelsie Yang,,28,21.05%,29,16.48%,77,57.89%,83,47.16%,56,42.11%,93,52.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-6 P-07,Absentee Voting,Yes,,26,60.47%,93,52.84%,31,72.09%,157,89.20%,12,27.91%,19,10.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-6 P-07,Election Day Voting,Yes,,67,50.38%,93,52.84%,126,94.74%,157,89.20%,7,5.26%,19,10.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-6 P-07,Absentee Voting,No,,5,11.63%,64,36.36%,31,72.09%,157,89.20%,12,27.91%,19,10.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
City Question 1,Saint Paul W-6 P-07,Election Day Voting,No,,59,44.36%,64,36.36%,126,94.74%,157,89.20%,7,5.26%,19,10.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-07,Absentee Voting,Charlie Castro,,8,4.65%,36,5.11%,75,43.60%,379,53.84%,97,56.40%,325,46.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-07,Election Day Voting,Charlie Castro,,28,5.26%,36,5.11%,304,57.14%,379,53.84%,228,42.86%,325,46.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
School Board Member Independent School District No. 625 Saint Paul Public Schools - Vote for Up to Four,Saint Paul W-6 P-07,Absentee Voting,Omar Syed,,17,9.88%,44,6.25%,75,43.60%,379,53.84%,97,56.40%,325,46.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
